question,category
What is the difference between procedural and object-oriented programming?,Object Oriented Programming
Explain the concept of destructor?,Object Oriented Programming
Can you declare a private class in a namespace?,Object Oriented Programming
What is a static constructor?,Object Oriented Programming
Explain different types of inheritance.,Object Oriented Programming
"You have defined a destructor in a class that you have developed by using the C# programming language, but the destructor never executed. Why did the destructor not execute?",Object Oriented Programming
Is it possible to execute two catch blocks?,Object Oriented Programming
What is the function of the Try-Catch-Finally block?,Object Oriented Programming
What are abstract classes? What are the distinct characteristics of an abstract class?,Object Oriented Programming
What is a delegate?,Object Oriented Programming
What is the syntax to inherit from a class in C#?,Object Oriented Programming
State the features of an interface.,Object Oriented Programming
Can you use the 'throws' clause to raise an exception?,Object Oriented Programming
Define enumeration?,Object Oriented Programming
"In which namespace, all .NET collection classes are contained?",Object Oriented Programming
Explain the concept of constructor?,Object Oriented Programming
Can you inherit private members of a class?,Object Oriented Programming
Does .NET support multiple inheritance?,Object Oriented Programming
What is the difference between a class and a structure?,Object Oriented Programming
What is a multicast delegate?,Object Oriented Programming
Can you declare an overridden method to be static if the original method is not static?,Object Oriented Programming
Why is the virtual keyword used in code?,Object Oriented Programming
"Can you allow a class to be inherited, but prevent a method from being overridden in C#?",Object Oriented Programming
What are similarities between a class and a structure.,Object Oriented Programming
What are collections and generics?,Object Oriented Programming
How can you prevent your class to be inherited further?,Object Oriented Programming
What is the index value of the first element in an array?,Object Oriented Programming
Can you specify the accessibility modifier for methods inside the interface?,Object Oriented Programming
Is it possible for a class to inherit the constructor of its base class?,Object Oriented Programming
How is method overriding different from method overloading?,Object Oriented Programming
What is the relationship between a class and an object?,Object Oriented Programming
Explain the basic features of OOPs.,Object Oriented Programming
What Are Properties Of Object Oriented Systems?,Object Oriented Programming
What Is Uml?,Object Oriented Programming
What Is Serialize Function In Php?,Object Oriented Programming
What Is Final Keyword In Php?,Object Oriented Programming
What Is Object Iteration?,Object Oriented Programming
What Is Overloading in php?,Object Oriented Programming
What Is Scope Resolution Operator?,Object Oriented Programming
What Are Different Visibility Of Method/property?,Object Oriented Programming
"What Happen, If New-style Constructor & Old-style Constructor Are Defined. Which One Will Be Called?",Object Oriented Programming
"What Happen, If Constructor Is Defined As Private Or Protected?",Object Oriented Programming
How To Load Classes In Php?,Object Oriented Programming
How To Call Parent Constructor?,Object Oriented Programming
What Are Some Of The Big Changes Php Has Gone Through In The Past Few Years?,Object Oriented Programming
What Is Data Modeling?,Object Oriented Programming
What is a state-related codebase?,Object Oriented Programming
How to move to a State-related Codebase?,Object Oriented Programming
How to avoid the NULL trap?,Object Oriented Programming
How does OO simplify development?,Object Oriented Programming
Why do we still see so much non-OO code written in C# today?,Object Oriented Programming
What is Dynamic Dispatch?,Object Oriented Programming
What is the this Pointer?,Object Oriented Programming
What is the OO fundamental idea using C# that allows a data structure to perform operations on its own data?,Object Oriented Programming
What are the fundamental principles of OO programming?,Object Oriented Programming
What is Composition?,Object Oriented Programming
Give three di?erences between an interface and an abstract class in Java.,Object Oriented Programming
Explain what it means for the treadRemaining ?eld to be private. Explain why it is good programming practice for such ?elds to be private.,Object Oriented Programming
Identify the type of interface that Cloneable is. What is the de?ning characteristic of such interfaces,Object Oriented Programming
Identify and explain two reasons why this code may not function as intended,Object Oriented Programming
Write an immutable Java class Complex that represents a complex number with integer real and imaginary components. [Note: Your class should contain only methods that are essential for its use. Do not incorporate any mathematical operations in the class.,Object Oriented Programming
"Without using Generics, adapt the class to support the use of arbitrary types to store the real and imaginary components. Give three disadvantages of this approach and comment on the immutability of the new class",Object Oriented Programming
Give two reasons why Element should not have public state and provide a better mutable Element de?nition,Object Oriented Programming
Explain why ArrayList and LinkedList are appropriate choices in this context.,Object Oriented Programming
Explain the two perspectives from which an object can be viewed,Object Oriented Programming
What advantage do designs which incorporate encapsulation enjoy?,Object Oriented Programming
"When designing software according to the object oriented paradigm, how is the design decomposed?",Object Oriented Programming
In what scenarios will you use a abstract class and in what scenarios will you use an interface?,Object Oriented Programming
How is inheritance put to use in Java?,Object Oriented Programming
State the different types of inheritance,Object Oriented Programming
Elaborate this and super keywords,Object Oriented Programming
What is require and include in PHP?,Object Oriented Programming
What is the characteristic features of object-oriented programming?,Object Oriented Programming
What is the relationship between data hiding and data mining?,Object Oriented Programming
Regression testing in object oriented programming?,Object Oriented Programming
Are object oriented programming and Noncommercial CFD codes appropriate for Industrial application?,Object Oriented Programming
"In object oriented programming, which is a semantic difference to call a function ""insert"" or ""add""?",Object Oriented Programming
What is Object-Oriented in real world (separate business logic from entity class (only get and set methods) or not)?,Object Oriented Programming
What are the weaknesses of Object-Oriented Programming?,Object Oriented Programming
What are examples of Object Oriented Programming's properties ?,Object Oriented Programming
What language you suggest to teach Object-Oriented Programming besides the traditionals programming languages like C++ or Java?,Object Oriented Programming
What is the recommended classes population size when testing a concept in object oriented programming?,Object Oriented Programming
Can anyone explain to me the basics of OOPS concept?,Object Oriented Programming
Can you help me with the theory behind aspect oriented programming?,Object Oriented Programming
What is a feature of object-oriented programming?,Object Oriented Programming
How do you find the missing number in a given integer array of 1 to 100?,Data Structures
How do you find the duplicate number on a given integer array? ,Data Structures
How do you find the largest and smallest number in an unsorted integer array?,Data Structures
How do you find all pairs of an integer array whose sum is equal to a given number?,Data Structures
How do you find duplicate numbers in an array if it contains multiple duplicates?,Data Structures
How are duplicates removed from a given array in Java? ,Data Structures
How is an integer array sorted in place using the quicksort algorithm? ,Data Structures
How do you remove duplicates from an array in place?,Data Structures
How do you reverse an array in place in Java?,Data Structures
How are duplicates removed from an array without using any library? ,Data Structures
How do you find the middle element of a singly linked list in one pass? ,Data Structures
How do you check if a given linked list contains a cycle? How do you find the starting node of the cycle?,Data Structures
How do you reverse a linked list?,Data Structures
How do you reverse a singly linked list without recursion? ,Data Structures
How are duplicate nodes removed in an unsorted linked list? ,Data Structures
How do you find the length of a singly linked list? ,Data Structures
How do you find the third node from the end in a singly linked list? ,Data Structures
How do you find the sum of two linked lists using Stack? ,Data Structures
How do you print duplicate characters from a string?,Data Structures
How do you check if two strings are anagrams of each other? ,Data Structures
How do you print the first non-repeated character from a string? ,Data Structures
How can a given string be reversed using recursion?,Data Structures
How do you check if a string contains only digits? ,Data Structures
How are duplicate characters found in a string?,Data Structures
How do you count a number of vowels and consonants in a given string?,Data Structures
How do you count the occurrence of a given character in a string? ,Data Structures
How do you find all permutations of a string?,Data Structures
How do you reverse words in a given sentence without using any library method?,Data Structures
How do you check if two strings are a rotation of each other? ,Data Structures
How do you check if a given string is a palindrome?,Data Structures
How is a binary search tree implemented?,Data Structures
How do you perform preorder traversal in a given binary tree? ,Data Structures
How do you traverse a given binary tree in preorder without recursion?,Data Structures
How do you perform an inorder traversal in a given binary tree? ,Data Structures
How do you print all nodes of a given binary tree using inorder traversal without recursion?,Data Structures
How do you implement a postorder traversal algorithm?,Data Structures
How do you traverse a binary tree in postorder traversal without recursion?,Data Structures
How are all leaves of a binary search tree printed?,Data Structures
How do you count a number of leaf nodes in a given binary tree? ,Data Structures
How do you perform a binary search in a given array? ,Data Structures
How do you implement a bucket sort algorithm?,Data Structures
How do you implement an insertion sort algorithm?,Data Structures
How do you implement a counting sort algorithm? ,Data Structures
How is a radix sort algorithm implemented?,Data Structures
How is a merge sort algorithm implemented? ,Data Structures
How is an iterative quicksort algorithm implemented?,Data Structures
